
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
800          0            62           2.709        510          26.06        
800          1            146          7.028        1849         105.8        
800          2            117          6.32         1871         104.9        
800          3            131          6.493        1919         108.5        
800          4            132          7.052        1833         103.7        
800          5            69           3.844        889          49.26        
800          6            59           3.151        885          49.27        
800          7            75           3.446        929          52.26        
800          8            67           3.134        905          52.2         
800          9            78           4.139        895          50.51        
800          10           70           3.667        845          48.94        
800          11           66           3.319        889          51.66        
800          12           78           3.798        919          52.38        
800          13           70           3.256        882          50.49        
800          14           59           2.936        888          50.67        
800          15           64           3.258        908          52.17        
800          16           61           3.264        875          49.81        
800          17           69           3.416        890          49.67        
800          18           96           4.833        917          51.04        
800          19           65           3.247        942          52.68        
800          20           59           3.013        985          55.73        
800          21           129          6.487        1996         114.4        
800          22           133          7.612        1884         106.2        
800          23           152          7.875        1836         105.2        
800          24           137          6.883        1952         112.1        
800          25           46           1.872        536          28           
900          0            40           1.669        526          25.94        
900          1            141          6.883        1842         105          
900          2            139          6.803        1935         108.7        
900          3            144          7.334        1927         107.3        
900          4            137          7.486        1853         104.8        
900          5            77           3.996        894          50.25        
900          6            75           3.888        897          49.23        
900          7            73           3.858        878          50.21        
900          8            73           3.554        958          54.96        
900          9            69           3.05         848          49.12        
900          10           75           3.903        884          50.17        
900          11           85           4.671        949          53.4         
900          12           78           3.919        881          50.73        
900          13           79           3.777        924          52.91        
900          14           72           3.662        928          53.05        
900          15           78           3.898        852          48.25        
900          16           72           3.417        863          49.49        
900          17           62           2.688        931          52.59        
900          18           75           3.86         942          54.05        
900          19           71           3.596        916          51.87        
900          20           78           3.964        906          51.12        
900          21           129          6.343        1880         108.3        
900          22           142          7.484        1910         106.8        
900          23           135          7.323        1872         105.8        
900          24           125          6.417        1801         99.43        
900          25           63           2.663        533          27.76        
1000         0            60           2.558        555          29.5         
1000         1            125          6.673        1893         107.2        
1000         2            121          6.446        1886         107.4        
1000         3            158          7.792        1888         103.2        
1000         4            144          7.527        1861         106.3        
1000         5            66           3.78         891          49.4         
1000         6            64           3.229        902          50.4         
1000         7            80           4.3          938          52.88        
1000         8            80           4.165        876          50.14        
1000         9            52           2.877        874          49.4         
1000         10           76           3.746        903          51.82        
1000         11           77           3.65         918          51.02        
1000         12           79           4.116        885          49.4         
1000         13           79           3.726        875          49.35        
1000         14           77           4.035        868          50.08        
1000         15           63           3.076        878          50.44        
1000         16           61           3.252        905          49.66        
1000         17           67           3.52         902          49.87        
1000         18           60           3.019        929          52.62        
1000         19           74           3.646        848          48.66        
1000         20           69           3.93         947          55.01        
1000         21           124          7.045        1906         107.5        
1000         22           152          7.851        1909         108.7        
1000         23           131          6.781        1915         107.9        
1000         24           140          7.11         1938         110.3        
1000         25           44           1.676        558          29.4         
1100         0            50           2.35         501          25.54        
1100         1            132          7.376        1912         109.1        
1100         2            139          6.782        1892         106.2        
1100         3            147          7.363        1924         109.8        
1100         4            158          7.838        1899         107.1        
1100         5            68           3.573        922          51.21        
1100         6            83           3.872        910          50.84        
1100         7            69           3.51         931          51.84        
1100         8            71           3.437        890          51.35        
1100         9            62           2.991        869          49.53        
1100         10           65           3.295        920          52.22        
1100         11           61           3.28         850          47.74        
1100         12           64           3.232        902          52.58        
1100         13           80           4.016        909          50.99        
1100         14           84           4.311        911          50.57        
1100         15           77           4.13         853          48.87        
1100         16           77           4.291        901          52.07        
1100         17           68           3.787        899          51.11        
1100         18           78           4.207        813          45.54        
1100         19           77           3.761        851          48.8         
1100         20           63           3.434        866          49.33        
1100         21           141          7.24         1896         107.8        
1100         22           126          6.584        1808         102.9        
1100         23           146          7.244        1809         103          
1100         24           149          7.195        1918         107.4        
1100         25           46           2.164        526          27.67        
1200         0            45           1.889        541          28.3         
1200         1            142          7.37         1937         109.3        
1200         2            126          6.653        1918         108.5        
1200         3            145          7.407        1798         104.2        
1200         4            127          6.648        1834         103.3        
1200         5            67           3.746        929          51.66        
1200         6            74           3.941        893          48.91        
1200         7            70           3.507        859          48.5         
1200         8            67           3.611        919          53.58        
1200         9            70           3.49         977          57.53        
1200         10           55           3.006        895          51.28        
1200         11           70           3.401        879          49.8         
1200         12           75           3.611        905          51.04        
1200         13           88           4.671        905          50.8         
1200         14           67           3.287        909          51.67        
1200         15           74           3.988        845          47.4         
1200         16           76           4.106        878          49.79        
1200         17           70           3.425        937          53.14        
1200         18           78           3.448        871          49.44        
1200         19           80           4.124        903          50.25        
1200         20           62           3.107        891          50.63        
1200         21           140          7.83         1828         102.3        
1200         22           129          6.813        1817         102.6        
1200         23           135          6.545        1851         106.2        
1200         24           115          5.802        1808         102.3        
1200         25           55           2.329        500          25.43        
1300         0            47           2.242        523          27.18        
