
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
700          24           405          19.05        1993         112.7        
700          25           115          5.207        570          29.4         
800          0            107          4.476        552          28.73        
800          1            399          19.26        1992         110.4        
800          2            402          19.45        1992         113.6        
800          3            424          20.52        2006         114.4        
800          4            454          21.62        2064         116.2        
800          5            211          9.355        1003         54.9         
800          6            207          9.303        968          54.24        
800          7            236          11.72        967          55.04        
800          8            219          10.42        977          55.01        
800          9            215          10.07        980          54.17        
800          10           214          9.731        999          54.14        
800          11           209          10.03        953          55.05        
800          12           187          9.574        976          55.06        
800          13           215          10.04        984          56.09        
800          14           225          10.41        960          55.29        
800          15           197          9.665        984          55.6         
800          16           206          10.32        1038         58.11        
800          17           208          9.41         966          56.19        
800          18           204          9.088        977          55.09        
800          19           221          10.5         982          55.26        
800          20           203          9.47         934          52.5         
800          21           455          21.76        1996         111.8        
800          22           442          21.02        1965         110.3        
800          23           402          18.46        2048         117.7        
800          24           384          17.87        2062         115.2        
800          25           132          5.643        538          27.87        
900          0            124          5.397        559          29.5         
900          1            420          20.09        1992         111.3        
900          2            415          19.91        2008         113.1        
900          3            395          19.28        1981         112          
900          4            438          20.81        1980         111.3        
900          5            183          8.934        978          55.02        
900          6            210          9.606        965          54.46        
900          7            237          11.7         981          55.88        
900          8            205          9.757        1030         59.45        
900          9            228          10.85        950          54.61        
900          10           202          9.771        966          55.29        
900          11           195          9.08         927          52.11        
900          12           239          11.62        893          51.59        
900          13           182          8.541        958          54.16        
900          14           231          11.56        975          53.9         
900          15           204          9.843        989          56.35        
900          16           210          9.953        975          55.38        
900          17           186          8.925        936          54.18        
900          18           187          8.974        958          52.38        
900          19           236          11.45        1007         56.64        
900          20           206          9.387        965          53.52        
900          21           414          20.08        1956         109.6        
900          22           433          21.58        2017         114.2        
900          23           394          17.96        2153         122.2        
900          24           368          18.25        2007         112.8        
900          25           123          5.278        539          28.22        
1000         0            123          5.106        569          29.55        
1000         1            397          18.39        2037         115.6        
1000         2            379          18.08        2024         115.2        
1000         3            434          20.38        1961         110.3        
1000         4            394          18.36        2006         111.8        
1000         5            230          10.81        954          53.97        
1000         6            237          11.07        945          53.16        
1000         7            219          10.74        947          52.76        
1000         8            202          9.376        971          53.9         
1000         9            233          11.49        978          55.12        
1000         10           205          9.446        946          52.68        
1000         11           206          9.917        974          56.02        
1000         12           219          10.19        919          52.23        
1000         13           194          9.339        967          53.82        
1000         14           174          8.209        935          52.36        
1000         15           184          8.833        935          55.1         
1000         16           218          10.5         995          56.83        
1000         17           198          8.826        945          54.26        
1000         18           214          10.09        1004         55.65        
1000         19           193          9.02         1026         57.68        
1000         20           229          10.7         987          56.58        
1000         21           401          19.42        2073         119.3        
1000         22           406          19.81        1991         112.4        
1000         23           408          19.62        2007         112.7        
1000         24           434          20.67        2049         112.6        
1000         25           129          5.237        578          30           
1100         0            122          5.247        613          32.09        
1100         1            416          19.32        1979         113.3        
1100         2            388          18.2         2039         116.2        
1100         3            450          21.93        2035         118.3        
1100         4            417          19.79        2008         114.4        
1100         5            177          8.484        979          55.28        
1100         6            202          10.09        980          54.47        
1100         7            206          9.864        934          53.08        
1100         8            208          9.415        943          55           
1100         9            230          11.19        957          53.74        
1100         10           186          7.896        972          54.98        
1100         11           213          9.399        917          51.89        
1100         12           195          9.618        950          54.06        
1100         13           206          9.894        945          53.96        
1100         14           202          10.02        908          52.38        
